form	lemma	POS	morph
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
བཞི་	བཞི་	NUM
འི་	གི་	PART
ཟུར་འདེབས་	ཟུར་འདེབས་	NO_POS
ཀྱི་	གི་	PART
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
དམ་རྒྱ་	དམ་རྒྱ་	NO_POS
ནི་	ནི་	NO_POS
།		PUNCT
ལྷ་	ལྷ་	NOUN
རྣམས་	རྣམས་	DET
ཅད་		NON_WORD
ཀྱི་	གི་	PART
ཐུགས་ཀ་	ཐུགས་ཀ་	NOUN
ར་	ལ་	PART
ཟླ་བ་	ཟླ་བ་	NOUN
འི་	གི་	PART
དབུ་	དབུ་	NOUN
སུ་	ལ་	PART
ཐོག་མཐའ་	ཐོག་མཐའ་	OTHER
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
ཀྱི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
དང་པོ་	དང་པོ་	ADJ
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྩེ་	རྩེ་	NOUN
ལྔ་པ་	ལྔ་པ་	NUM
འི་	གི་	PART
མཚན་པ་	མཚན་པ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
།		PUNCT
ས་	ས་	ADP
མ་	མ་	PART
ཡ་	ཡ་	NOUN
སྟྭཾ་		NON_WORD
།		PUNCT
བཛྲ་	བཛྲ་	NO_POS
དྲྀཥྚི་		NON_WORD
མ་	མ་	PART
ཊ་	ཊ་	NO_POS
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སརྦ་	སརྦ་	NO_POS
བིད་		NON_WORD
དྲྀ་		NON_WORD
ཤྱ་		NON_WORD
།		PUNCT
ཛཿ་		NON_WORD
ཧཱུྂ་		NON_WORD
བཾ་		NON_WORD
ཧོཿ་		NON_WORD
ས་	ས་	ADP
མ་	མ་	PART
ཡ་	ཡ་	NOUN
སྟྭཾ་		NON_WORD
།		PUNCT
ས་	ས་	ADP
མ་	མ་	PART
ཡ་	ཡ་	NOUN
སྟྭཾ་		NON_WORD
།		PUNCT
ཨ་	ཨ་	X
ཧཾ་		NON_WORD
།		PUNCT
སརྦ་	སརྦ་	NO_POS
བིད་		NON_WORD
།		PUNCT
ཞེ་	ཅེས་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
དང་	དང་	NO_POS
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སརྦ་	སརྦ་	NO_POS
བིད་		NON_WORD
སརྦ་	སརྦ་	NO_POS
ཨཱ་	ཨཱ་	NO_POS
ཝ་	ཝ་	OTHER
ར་	ར་	ADP
ཎ་		NON_WORD
བི་	བི་	NO_POS
ཤོ་	ཤོ་	NOUN
དྷ་		NON_WORD
ཡ་	ཡ་	NOUN
ཧ་	ཧ་	NOUN
ན་	ལ་	PART
ཧཱུྂ་		NON_WORD
ཕཊ་		NON_WORD
།		PUNCT
ཅེས་	ཅེས་	PART
གཙོ་བོ་	གཙོ་བོ་	ADJ
འི་	གི་	PART
